control_ref,control_text,control_text_enriched,subject,verbs,context,semantic_summary,key_concepts,scope,security_domains,enriched_text
GV.OC-02,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered","Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",Understanding internal and external stakeholders and their cybersecurity risk management expectations,"understood,considered",It ensures that stakeholder needs and expectations are taken into account to guide cybersecurity risk management.,"The control requires identifying internal and external stakeholders, understanding their needs and expectations regarding cybersecurity risk management, and considering those expectations in risk management activities.","internal stakeholders,external stakeholders,needs,expectations,cybersecurity risk management",Internal and external stakeholders and their cybersecurity risk management needs and expectations are covered.,risk management,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered

[TOPICS: Understanding internal and external stakeholders and their cybersecurity risk management expectations]
[ACTIONS: understood,considered]
[DOMAINS: risk management]
[SUMMARY: The control requires identifying internal and external stakeholders, understanding their needs and expectations regarding cybersecurity risk management, and considering those expectations in risk management activities.]
[PURPOSE: It ensures that stakeholder needs and expectations are taken into account to guide cybersecurity risk management.]
[CONCEPTS: internal stakeholders,external stakeholders,needs,expectations,cybersecurity risk management]
[SCOPE: Internal and external stakeholders and their cybersecurity risk management needs and expectations are covered.]"
GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity — including privacy and civil liberties obligations — are understood and managed","Legal, regulatory, and contractual requirements regarding cybersecurity — including privacy and civil liberties obligations — are understood and managed","Legal, regulatory, and contractual cybersecurity requirements","understood, managed","Ensuring that legal, regulatory, and contractual cybersecurity requirements, including privacy and civil liberties obligations, are understood and managed.","Organizations must identify, comprehend, and manage all legal, regulatory, and contractual obligations related to cybersecurity, including those concerning privacy and civil liberties.","Legal, regulatory, contractual requirements, cybersecurity, privacy, civil liberties obligations","Legal, regulatory, and contractual cybersecurity requirements, including privacy and civil liberties obligations, are covered.",compliance,"Legal, regulatory, and contractual requirements regarding cybersecurity — including privacy and civil liberties obligations — are understood and managed

[TOPICS: Legal, regulatory, and contractual cybersecurity requirements]
[ACTIONS: understood, managed]
[DOMAINS: compliance]
[SUMMARY: Organizations must identify, comprehend, and manage all legal, regulatory, and contractual obligations related to cybersecurity, including those concerning privacy and civil liberties.]
[PURPOSE: Ensuring that legal, regulatory, and contractual cybersecurity requirements, including privacy and civil liberties obligations, are understood and managed.]
[CONCEPTS: Legal, regulatory, contractual requirements, cybersecurity, privacy, civil liberties obligations]
[SCOPE: Legal, regulatory, and contractual cybersecurity requirements, including privacy and civil liberties obligations, are covered.]"
GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated","Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated","Critical objectives, capabilities, and services expected by external stakeholders","depend,expect,understood,communicated","Ensuring the organization knows and conveys the critical objectives, capabilities, and services that external stakeholders rely on reduces misunderstandings and supports stakeholder confidence.","Identify the critical objectives, capabilities, and services that external stakeholders depend on or expect. Ensure these are understood and communicated within the organization.","Critical objectives,capabilities,services,external stakeholders,depend,expect,understood,communicated,organization","Critical objectives, capabilities, and services of the organization that external stakeholders depend on or expect.",governance,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated

[TOPICS: Critical objectives, capabilities, and services expected by external stakeholders]
[ACTIONS: depend,expect,understood,communicated]
[DOMAINS: governance]
[SUMMARY: Identify the critical objectives, capabilities, and services that external stakeholders depend on or expect. Ensure these are understood and communicated within the organization.]
[PURPOSE: Ensuring the organization knows and conveys the critical objectives, capabilities, and services that external stakeholders rely on reduces misunderstandings and supports stakeholder confidence.]
[CONCEPTS: Critical objectives,capabilities,services,external stakeholders,depend,expect,understood,communicated,organization]
[SCOPE: Critical objectives, capabilities, and services of the organization that external stakeholders depend on or expect.]"
GV.OC-05,"Outcomes, capabilities, and services that the organization depends on are understood and communicated tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions","Outcomes, capabilities, and services that the organization depends on are understood and communicated tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions","Understanding and communicating organizational outcomes, capabilities, services, tolerance/appetite statements, and assumptions","understood,communicated,established,used,support","It ensures that outcomes, capabilities, services, tolerance and appetite statements, and assumptions are clearly understood and communicated to inform operational risk decisions.","The organization must understand and communicate its critical outcomes, capabilities, and services, along with tolerance and appetite statements. It must also establish and communicate assumptions, using them to guide operational risk decisions.","Outcomes,capabilities,services,tolerance,appetite statements,assumptions,operational risk decisions","Outcomes, capabilities, services, tolerance and appetite statements, and assumptions related to the organization are covered.",risk management,"Outcomes, capabilities, and services that the organization depends on are understood and communicated tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions

[TOPICS: Understanding and communicating organizational outcomes, capabilities, services, tolerance/appetite statements, and assumptions]
[ACTIONS: understood,communicated,established,used,support]
[DOMAINS: risk management]
[SUMMARY: The organization must understand and communicate its critical outcomes, capabilities, and services, along with tolerance and appetite statements. It must also establish and communicate assumptions, using them to guide operational risk decisions.]
[PURPOSE: It ensures that outcomes, capabilities, services, tolerance and appetite statements, and assumptions are clearly understood and communicated to inform operational risk decisions.]
[CONCEPTS: Outcomes,capabilities,services,tolerance,appetite statements,assumptions,operational risk decisions]
[SCOPE: Outcomes, capabilities, services, tolerance and appetite statements, and assumptions related to the organization are covered.]"
GV.OV-01,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,Cybersecurity risk management strategy outcomes review,"reviewed,inform,adjust",It ensures the organization can adapt its cybersecurity risk management strategy based on actual outcomes.,The organization must periodically review the outcomes of its cybersecurity risk management strategy. The review findings are used to inform the current strategy. Adjustments to the strategy and its direction are made based on the review.,"cybersecurity,risk management,strategy,outcomes,review,direction",The control applies to the outcomes of the cybersecurity risk management strategy.,risk management,"Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction

[TOPICS: Cybersecurity risk management strategy outcomes review]
[ACTIONS: reviewed,inform,adjust]
[DOMAINS: risk management]
[SUMMARY: The organization must periodically review the outcomes of its cybersecurity risk management strategy. The review findings are used to inform the current strategy. Adjustments to the strategy and its direction are made based on the review.]
[PURPOSE: It ensures the organization can adapt its cybersecurity risk management strategy based on actual outcomes.]
[CONCEPTS: cybersecurity,risk management,strategy,outcomes,review,direction]
[SCOPE: The control applies to the outcomes of the cybersecurity risk management strategy.]"
GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,Cybersecurity risk management strategy review and adjustment,"reviewed,adjusted,ensure",It ensures the risk management strategy aligns with organizational requirements and addresses identified risks.,The organization must review its cybersecurity risk management strategy and adjust it as needed to guarantee coverage of organizational requirements and risks.,"cybersecurity,risk management,strategy,organizational requirements,risks",The cybersecurity risk management strategy is in scope.,risk management,"The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks

[TOPICS: Cybersecurity risk management strategy review and adjustment]
[ACTIONS: reviewed,adjusted,ensure]
[DOMAINS: risk management]
[SUMMARY: The organization must review its cybersecurity risk management strategy and adjust it as needed to guarantee coverage of organizational requirements and risks.]
[PURPOSE: It ensures the risk management strategy aligns with organizational requirements and addresses identified risks.]
[CONCEPTS: cybersecurity,risk management,strategy,organizational requirements,risks]
[SCOPE: The cybersecurity risk management strategy is in scope.]"
GV.OV-03,"Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed management processes are identified, established, managed, monitored, and improved by organizational stakeholders","Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Organizational cybersecurity risk management performance evaluation and review,"evaluated,reviewed,identified,established,managed,monitored,improved",It ensures that the organization can assess its cybersecurity risk management performance and make necessary adjustments.,"The organization must evaluate and review its cybersecurity risk management performance to determine needed adjustments. Management processes must be identified, established, managed, monitored, and improved by organizational stakeholders.","Organizational cybersecurity risk management,performance,adjustments,management processes,organizational stakeholders","The control covers the evaluation, review, and improvement of cybersecurity risk management processes by organizational stakeholders.",risk management,"Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed management processes are identified, established, managed, monitored, and improved by organizational stakeholders

[TOPICS: Organizational cybersecurity risk management performance evaluation and review]
[ACTIONS: evaluated,reviewed,identified,established,managed,monitored,improved]
[DOMAINS: risk management]
[SUMMARY: The organization must evaluate and review its cybersecurity risk management performance to determine needed adjustments. Management processes must be identified, established, managed, monitored, and improved by organizational stakeholders.]
[PURPOSE: It ensures that the organization can assess its cybersecurity risk management performance and make necessary adjustments.]
[CONCEPTS: Organizational cybersecurity risk management,performance,adjustments,management processes,organizational stakeholders]
[SCOPE: The control covers the evaluation, review, and improvement of cybersecurity risk management processes by organizational stakeholders.]"
GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced","Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",Policy for managing cybersecurity risks,"established,communicated,enforced","It ensures cybersecurity risks are managed in alignment with the organization’s context, strategy, and priorities.","A policy for managing cybersecurity risks must be established using the organization’s context, cybersecurity strategy, and priorities. The policy must then be communicated and enforced.","policy,cybersecurity risks,organizational context,cybersecurity strategy,priorities,communication,enforcement","The control covers the establishment, communication, and enforcement of a cybersecurity risk management policy.","governance,risk management","Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced

[TOPICS: Policy for managing cybersecurity risks]
[ACTIONS: established,communicated,enforced]
[DOMAINS: governance,risk management]
[SUMMARY: A policy for managing cybersecurity risks must be established using the organization’s context, cybersecurity strategy, and priorities. The policy must then be communicated and enforced.]
[PURPOSE: It ensures cybersecurity risks are managed in alignment with the organization’s context, strategy, and priorities.]
[CONCEPTS: policy,cybersecurity risks,organizational context,cybersecurity strategy,priorities,communication,enforcement]
[SCOPE: The control covers the establishment, communication, and enforcement of a cybersecurity risk management policy.]"
GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission and performance are used to inform, improve, and adjust the risk management strategy","Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission and performance are used to inform, improve, and adjust the risk management strategy",Policy for managing cybersecurity risks,"reviewed,updated,communicated,enforced,reflect,used,inform,improve,adjust","It ensures the cybersecurity risk management policy stays aligned with evolving requirements, threats, technology, and organizational mission, supporting continuous improvement of the risk management strategy.","The organization must regularly review, update, communicate, and enforce its cybersecurity risk management policy to incorporate changes in requirements, threats, technology, and mission. Performance data are used to inform, improve, and adjust the risk management strategy.","policy,managing cybersecurity risks,reviewed,updated,communicated,enforced,requirements,threats,technology,organizational mission,performance,risk management strategy",The control applies to the cybersecurity risk management policy and its related processes.,"governance, risk management","Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission and performance are used to inform, improve, and adjust the risk management strategy

[TOPICS: Policy for managing cybersecurity risks]
[ACTIONS: reviewed,updated,communicated,enforced,reflect,used,inform,improve,adjust]
[DOMAINS: governance, risk management]
[SUMMARY: The organization must regularly review, update, communicate, and enforce its cybersecurity risk management policy to incorporate changes in requirements, threats, technology, and mission. Performance data are used to inform, improve, and adjust the risk management strategy.]
[PURPOSE: It ensures the cybersecurity risk management policy stays aligned with evolving requirements, threats, technology, and organizational mission, supporting continuous improvement of the risk management strategy.]
[CONCEPTS: policy,managing cybersecurity risks,reviewed,updated,communicated,enforced,requirements,threats,technology,organizational mission,performance,risk management strategy]
[SCOPE: The control applies to the cybersecurity risk management policy and its related processes.]"
GV.RM-01,Risk management objectives are established and agreed to by organizational stakeholders,Risk management objectives are established and agreed to by organizational stakeholders,Risk management objectives establishment and stakeholder agreement,"established, agreed",Ensures that risk management objectives are clearly defined and accepted by organizational stakeholders.,The organization must define risk management objectives and obtain agreement from its stakeholders.,"Risk management objectives, organizational stakeholders",Risk management objectives and the organizational stakeholders who must agree to them.,risk management,"Risk management objectives are established and agreed to by organizational stakeholders

[TOPICS: Risk management objectives establishment and stakeholder agreement]
[ACTIONS: established, agreed]
[DOMAINS: risk management]
[SUMMARY: The organization must define risk management objectives and obtain agreement from its stakeholders.]
[PURPOSE: Ensures that risk management objectives are clearly defined and accepted by organizational stakeholders.]
[CONCEPTS: Risk management objectives, organizational stakeholders]
[SCOPE: Risk management objectives and the organizational stakeholders who must agree to them.]"
GV.RM-02,"Risk appetite and risk tolerance statements are established, communicated, and maintained","Risk appetite and risk tolerance statements are established, communicated, and maintained",Risk appetite and risk tolerance statements,"established,communicated,maintained",Ensures the organization defines and shares its risk appetite and tolerance to guide decision‑making.,"The organization must create risk appetite and risk tolerance statements, distribute them to relevant parties, and keep them up to date.","risk appetite,risk tolerance,statements,established,communicated,maintained",Risk appetite and risk tolerance statements are covered.,risk management,"Risk appetite and risk tolerance statements are established, communicated, and maintained

[TOPICS: Risk appetite and risk tolerance statements]
[ACTIONS: established,communicated,maintained]
[DOMAINS: risk management]
[SUMMARY: The organization must create risk appetite and risk tolerance statements, distribute them to relevant parties, and keep them up to date.]
[PURPOSE: Ensures the organization defines and shares its risk appetite and tolerance to guide decision‑making.]
[CONCEPTS: risk appetite,risk tolerance,statements,established,communicated,maintained]
[SCOPE: Risk appetite and risk tolerance statements are covered.]"
GV.RM-03,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,Inclusion of cybersecurity risk management activities and outcomes in enterprise risk management processes,included,Including cybersecurity risk management activities and outcomes in enterprise risk management processes integrates cybersecurity risks with overall organizational risk oversight.,The organization must incorporate its cybersecurity risk management activities and the results of those activities into its enterprise risk management processes.,"Cybersecurity risk management, activities, outcomes, enterprise risk management processes","Cybersecurity risk management activities and outcomes, and enterprise risk management processes are covered.",risk management,"Cybersecurity risk management activities and outcomes are included in enterprise risk management processes

[TOPICS: Inclusion of cybersecurity risk management activities and outcomes in enterprise risk management processes]
[ACTIONS: included]
[DOMAINS: risk management]
[SUMMARY: The organization must incorporate its cybersecurity risk management activities and the results of those activities into its enterprise risk management processes.]
[PURPOSE: Including cybersecurity risk management activities and outcomes in enterprise risk management processes integrates cybersecurity risks with overall organizational risk oversight.]
[CONCEPTS: Cybersecurity risk management, activities, outcomes, enterprise risk management processes]
[SCOPE: Cybersecurity risk management activities and outcomes, and enterprise risk management processes are covered.]"
GV.RM-04,Strategic direction that describes appropriate risk response options is established and communicated,Strategic direction that describes appropriate risk response options is established and communicated,Strategic direction for appropriate risk response options,"describes,established,communicated",It ensures the organization has a clear strategic direction for risk response that is known to relevant stakeholders.,The organization must define a strategic direction that outlines suitable risk response options and must ensure this direction is both established and communicated to appropriate parties.,"strategic direction,appropriate risk response options,established,communicated",The control covers the establishment and communication of the organization’s strategic direction for risk response options.,risk management,"Strategic direction that describes appropriate risk response options is established and communicated

[TOPICS: Strategic direction for appropriate risk response options]
[ACTIONS: describes,established,communicated]
[DOMAINS: risk management]
[SUMMARY: The organization must define a strategic direction that outlines suitable risk response options and must ensure this direction is both established and communicated to appropriate parties.]
[PURPOSE: It ensures the organization has a clear strategic direction for risk response that is known to relevant stakeholders.]
[CONCEPTS: strategic direction,appropriate risk response options,established,communicated]
[SCOPE: The control covers the establishment and communication of the organization’s strategic direction for risk response options.]"
GV.RM-05,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties","Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",Lines of communication across the organization for cybersecurity risks,"established,including","It ensures that the organization can address cybersecurity risks, including those from suppliers and other third parties.",The organization must set up communication channels throughout the organization to discuss cybersecurity risks. These channels must also cover risks originating from suppliers and other third parties.,"Lines of communication,organization,cybersecurity risks,suppliers,third parties","Communication lines across the organization for cybersecurity risks, including supplier and third‑party risks.","communications security,risk management","Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties

[TOPICS: Lines of communication across the organization for cybersecurity risks]
[ACTIONS: established,including]
[DOMAINS: communications security,risk management]
[SUMMARY: The organization must set up communication channels throughout the organization to discuss cybersecurity risks. These channels must also cover risks originating from suppliers and other third parties.]
[PURPOSE: It ensures that the organization can address cybersecurity risks, including those from suppliers and other third parties.]
[CONCEPTS: Lines of communication,organization,cybersecurity risks,suppliers,third parties]
[SCOPE: Communication lines across the organization for cybersecurity risks, including supplier and third‑party risks.]"
GV.RM-06,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated","A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated","Standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks","calculating,documenting,categorizing,prioritizing,established,communicated","Having a standardized method helps the organization consistently calculate, document, categorize, and prioritize cybersecurity risks.","The organization must create a standardized approach for calculating, documenting, categorizing, and prioritizing cybersecurity risks, and must communicate this method to relevant stakeholders.","standardized method,calculating,documenting,categorizing,prioritizing,cybersecurity risks,established,communicated","The control applies to the process of calculating, documenting, categorizing, and prioritizing cybersecurity risks.",risk management,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated

[TOPICS: Standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks]
[ACTIONS: calculating,documenting,categorizing,prioritizing,established,communicated]
[DOMAINS: risk management]
[SUMMARY: The organization must create a standardized approach for calculating, documenting, categorizing, and prioritizing cybersecurity risks, and must communicate this method to relevant stakeholders.]
[PURPOSE: Having a standardized method helps the organization consistently calculate, document, categorize, and prioritize cybersecurity risks.]
[CONCEPTS: standardized method,calculating,documenting,categorizing,prioritizing,cybersecurity risks,established,communicated]
[SCOPE: The control applies to the process of calculating, documenting, categorizing, and prioritizing cybersecurity risks.]"
