control_ref,control_text,control_text_enriched,subject,verbs,context,semantic_summary,key_concepts,scope,security_domains,enriched_text
1.9.1,"Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel of the entity shall be identified, documented, and approved prior to, during, and upon the end or termination of their employment.","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel of the entity shall be identified, documented, and approved prior to, during, and upon the end or termination of their employment.",Cybersecurity requirements for personnel throughout employment lifecycle,"identified, documented, approved",Ensures that cybersecurity expectations for employees are defined and authorized throughout their employment.,"The entity must identify, document, and obtain approval for all cybersecurity requirements applicable to its personnel before hiring, during their employment, and when their employment ends or is terminated.","Cybersecurity Governance, Cybersecurity in Human Resources, Cybersecurity requirements, personnel, entity, identified, documented, approved, employment, termination","Applies to all personnel of the entity prior to, during, and upon the end or termination of their employment.","governance, human resources security","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel of the entity shall be identified, documented, and approved prior to, during, and upon the end or termination of their employment.

[TOPICS: Cybersecurity requirements for personnel throughout employment lifecycle]
[ACTIONS: identified, documented, approved]
[DOMAINS: governance, human resources security]
[SUMMARY: The entity must identify, document, and obtain approval for all cybersecurity requirements applicable to its personnel before hiring, during their employment, and when their employment ends or is terminated.]
[PURPOSE: Ensures that cybersecurity expectations for employees are defined and authorized throughout their employment.]
[CONCEPTS: Cybersecurity Governance, Cybersecurity in Human Resources, Cybersecurity requirements, personnel, entity, identified, documented, approved, employment, termination]
[SCOPE: Applies to all personnel of the entity prior to, during, and upon the end or termination of their employment.]"
1.9.2,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel of the entity shall be implemented.,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel of the entity shall be implemented.,Cybersecurity requirements for personnel of the entity,implemented,Ensures that personnel are subject to defined cybersecurity requirements.,The organization must implement cybersecurity requirements for its personnel.,"Cybersecurity Governance,Cybersecurity in Human Resources,Cybersecurity requirements,personnel,entity",Personnel of the entity are in scope.,"governance,human resources security","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel of the entity shall be implemented.

[TOPICS: Cybersecurity requirements for personnel of the entity]
[ACTIONS: implemented]
[DOMAINS: governance,human resources security]
[SUMMARY: The organization must implement cybersecurity requirements for its personnel.]
[PURPOSE: Ensures that personnel are subject to defined cybersecurity requirements.]
[CONCEPTS: Cybersecurity Governance,Cybersecurity in Human Resources,Cybersecurity requirements,personnel,entity]
[SCOPE: Personnel of the entity are in scope.]"
1.9.3,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements prior to the commencement of the employment relationship between personnel and the entity shall include the following as a minimum:,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements prior to the commencement of the employment relationship between personnel and the entity shall include the following as a minimum:,Cybersecurity requirements before employment relationship between personnel and entity,include,Establishes minimum cybersecurity requirements before the employment relationship begins to address security risks associated with new personnel.,"The control mandates that, prior to the commencement of an employment relationship, the entity must define and include minimum cybersecurity requirements for personnel. These requirements apply as a baseline for all new hires.","Cybersecurity Governance,Cybersecurity in Human Resources,Cybersecurity requirements,commencement,employment relationship,personnel,entity,minimum",Cybersecurity requirements that apply before the start of employment for personnel and the entity.,"governance,human resources security","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements prior to the commencement of the employment relationship between personnel and the entity shall include the following as a minimum:

[TOPICS: Cybersecurity requirements before employment relationship between personnel and entity]
[ACTIONS: include]
[DOMAINS: governance,human resources security]
[SUMMARY: The control mandates that, prior to the commencement of an employment relationship, the entity must define and include minimum cybersecurity requirements for personnel. These requirements apply as a baseline for all new hires.]
[PURPOSE: Establishes minimum cybersecurity requirements before the employment relationship begins to address security risks associated with new personnel.]
[CONCEPTS: Cybersecurity Governance,Cybersecurity in Human Resources,Cybersecurity requirements,commencement,employment relationship,personnel,entity,minimum]
[SCOPE: Cybersecurity requirements that apply before the start of employment for personnel and the entity.]"
1.9.3.1,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements prior to the commencement of the employment relationship between personnel and the entity shall include the following as a minimum: Incorporating the personnel’s cybersecurity responsibilities clauses and non-,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements prior to the commencement of the employment relationship between personnel and the entity shall include the following as a minimum: Incorporating the personnel’s cybersecurity responsibilities clauses and non-,Cybersecurity requirements prior to employment commencement,"include, incorporate","It ensures that cybersecurity responsibilities are defined before personnel begin work, reducing risk of security gaps.","The entity must, before the employment relationship starts, include at minimum clauses that define the personnel’s cybersecurity responsibilities and related non‑... provisions.","Cybersecurity Governance,Cybersecurity in Human Resources,cybersecurity requirements,employment relationship,personnel,entity,cybersecurity responsibilities clauses,non-",Covers cybersecurity requirements that must be established before the commencement of the employment relationship between personnel and the entity.,"governance,human resources security","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements prior to the commencement of the employment relationship between personnel and the entity shall include the following as a minimum: Incorporating the personnel’s cybersecurity responsibilities clauses and non-

[TOPICS: Cybersecurity requirements prior to employment commencement]
[ACTIONS: include, incorporate]
[DOMAINS: governance,human resources security]
[SUMMARY: The entity must, before the employment relationship starts, include at minimum clauses that define the personnel’s cybersecurity responsibilities and related non‑... provisions.]
[PURPOSE: It ensures that cybersecurity responsibilities are defined before personnel begin work, reducing risk of security gaps.]
[CONCEPTS: Cybersecurity Governance,Cybersecurity in Human Resources,cybersecurity requirements,employment relationship,personnel,entity,cybersecurity responsibilities clauses,non-]
[SCOPE: Covers cybersecurity requirements that must be established before the commencement of the employment relationship between personnel and the entity.]"
1.9.3.2,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements prior to the commencement of the employment relationship between personnel and the entity shall include the following as a minimum: : Conducting screening or vetting for personnel in cybersecurity positions and technical positions with critical and privileged powers.,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements prior to the commencement of the employment relationship between personnel and the entity shall include the following as a minimum: : Conducting screening or vetting for personnel in cybersecurity positions and technical positions with critical and privileged powers.,Cybersecurity requirements for personnel prior to employment,"include, conducting, screening, vetting",Ensures that individuals placed in cybersecurity or critical technical positions are screened before employment to mitigate potential security risks.,"Before hiring, the entity must require that candidates for cybersecurity and privileged technical roles undergo screening or vetting. This is the minimum requirement for the employment relationship.","Cybersecurity Governance, Cybersecurity in Human Resources, Cybersecurity requirements, employment relationship, personnel, screening, vetting, cybersecurity positions, technical positions, critical, privileged powers",Personnel in cybersecurity and technical positions with critical and privileged powers are covered prior to the commencement of their employment.,"governance, human resources security","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements prior to the commencement of the employment relationship between personnel and the entity shall include the following as a minimum: : Conducting screening or vetting for personnel in cybersecurity positions and technical positions with critical and privileged powers.

[TOPICS: Cybersecurity requirements for personnel prior to employment]
[ACTIONS: include, conducting, screening, vetting]
[DOMAINS: governance, human resources security]
[SUMMARY: Before hiring, the entity must require that candidates for cybersecurity and privileged technical roles undergo screening or vetting. This is the minimum requirement for the employment relationship.]
[PURPOSE: Ensures that individuals placed in cybersecurity or critical technical positions are screened before employment to mitigate potential security risks.]
[CONCEPTS: Cybersecurity Governance, Cybersecurity in Human Resources, Cybersecurity requirements, employment relationship, personnel, screening, vetting, cybersecurity positions, technical positions, critical, privileged powers]
[SCOPE: Personnel in cybersecurity and technical positions with critical and privileged powers are covered prior to the commencement of their employment.]"
1.9.4,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel during their employment relationship with the entity shall include the following as a minimum:,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel during their employment relationship with the entity shall include the following as a minimum:,Cybersecurity requirements for personnel during employment relationship,include,Ensures that personnel have defined cybersecurity requirements throughout their employment with the entity.,The entity must define minimum cybersecurity requirements for personnel during their employment relationship.,"Cybersecurity Governance, Cybersecurity in Human Resources, personnel, employment relationship, entity, requirements, minimum",Personnel employed by the entity during their employment relationship are covered.,"governance, human resources security","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel during their employment relationship with the entity shall include the following as a minimum:

[TOPICS: Cybersecurity requirements for personnel during employment relationship]
[ACTIONS: include]
[DOMAINS: governance, human resources security]
[SUMMARY: The entity must define minimum cybersecurity requirements for personnel during their employment relationship.]
[PURPOSE: Ensures that personnel have defined cybersecurity requirements throughout their employment with the entity.]
[CONCEPTS: Cybersecurity Governance, Cybersecurity in Human Resources, personnel, employment relationship, entity, requirements, minimum]
[SCOPE: Personnel employed by the entity during their employment relationship are covered.]"
1.9.4.1,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel during their employment relationship with the entity shall include the following as a minimum: : Cybersecurity awareness (during on-boarding and during employment).,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel during their employment relationship with the entity shall include the following as a minimum: : Cybersecurity awareness (during on-boarding and during employment).,Cybersecurity requirements for personnel during employment,shall include,It ensures personnel receive cybersecurity awareness during onboarding and throughout employment.,The entity must require that personnel receive cybersecurity awareness training both at onboarding and during their ongoing employment.,"Cybersecurity Governance,Cybersecurity in Human Resources,Cybersecurity requirements,personnel,employment relationship,Cybersecurity awareness,on-boarding,employment","Applies to personnel throughout their employment relationship with the entity, covering onboarding and ongoing awareness training.","governance, human resources security","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel during their employment relationship with the entity shall include the following as a minimum: : Cybersecurity awareness (during on-boarding and during employment).

[TOPICS: Cybersecurity requirements for personnel during employment]
[ACTIONS: shall include]
[DOMAINS: governance, human resources security]
[SUMMARY: The entity must require that personnel receive cybersecurity awareness training both at onboarding and during their ongoing employment.]
[PURPOSE: It ensures personnel receive cybersecurity awareness during onboarding and throughout employment.]
[CONCEPTS: Cybersecurity Governance,Cybersecurity in Human Resources,Cybersecurity requirements,personnel,employment relationship,Cybersecurity awareness,on-boarding,employment]
[SCOPE: Applies to personnel throughout their employment relationship with the entity, covering onboarding and ongoing awareness training.]"
1.9.4.2,"Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel during their employment relationship with the entity shall include the following as a minimum: : Implementation and compliance with cybersecurity requirements, as per the entity’s cybersecurity policies, procedures, and operations.","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel during their employment relationship with the entity shall include the following as a minimum: : Implementation and compliance with cybersecurity requirements, as per the entity’s cybersecurity policies, procedures, and operations.",Cybersecurity requirements for personnel during employment,include,"It ensures personnel implement and comply with the entity’s cybersecurity policies, procedures, and operations.","The control requires that personnel, throughout their employment relationship with the entity, must implement cybersecurity requirements. They must also comply with the entity’s cybersecurity policies, procedures, and operations.","Cybersecurity Governance,Cybersecurity in Human Resources,personnel,employment relationship,implementation,compliance,cybersecurity requirements,entity’s cybersecurity policies,procedures,operations",Personnel during their employment relationship with the entity are covered.,"governance,human resources security,compliance","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel during their employment relationship with the entity shall include the following as a minimum: : Implementation and compliance with cybersecurity requirements, as per the entity’s cybersecurity policies, procedures, and operations.

[TOPICS: Cybersecurity requirements for personnel during employment]
[ACTIONS: include]
[DOMAINS: governance,human resources security,compliance]
[SUMMARY: The control requires that personnel, throughout their employment relationship with the entity, must implement cybersecurity requirements. They must also comply with the entity’s cybersecurity policies, procedures, and operations.]
[PURPOSE: It ensures personnel implement and comply with the entity’s cybersecurity policies, procedures, and operations.]
[CONCEPTS: Cybersecurity Governance,Cybersecurity in Human Resources,personnel,employment relationship,implementation,compliance,cybersecurity requirements,entity’s cybersecurity policies,procedures,operations]
[SCOPE: Personnel during their employment relationship with the entity are covered.]"
1.9.5,Cybersecurity Governance : Cybersecurity in Human Resources : The personnel’s powers shall be reviewed and revoked immediately upon the end/termination of their employment with the entity.,Cybersecurity Governance : Cybersecurity in Human Resources : The personnel’s powers shall be reviewed and revoked immediately upon the end/termination of their employment with the entity.,Review and revocation of personnel powers upon employment termination,"reviewed, revoked",The control ensures that personnel powers are removed immediately when employment ends.,The organization must review the powers assigned to personnel and revoke them immediately upon the employee’s termination or end of employment.,"Cybersecurity Governance, Human Resources, personnel, powers, reviewed, revoked, end/termination, employment, entity",The control applies to all personnel and their powers within the entity at the time of employment termination.,"governance, human resources security","Cybersecurity Governance : Cybersecurity in Human Resources : The personnel’s powers shall be reviewed and revoked immediately upon the end/termination of their employment with the entity.

[TOPICS: Review and revocation of personnel powers upon employment termination]
[ACTIONS: reviewed, revoked]
[DOMAINS: governance, human resources security]
[SUMMARY: The organization must review the powers assigned to personnel and revoke them immediately upon the employee’s termination or end of employment.]
[PURPOSE: The control ensures that personnel powers are removed immediately when employment ends.]
[CONCEPTS: Cybersecurity Governance, Human Resources, personnel, powers, reviewed, revoked, end/termination, employment, entity]
[SCOPE: The control applies to all personnel and their powers within the entity at the time of employment termination.]"
1.9.6,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel of the entity shall be periodically reviewed.,Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel of the entity shall be periodically reviewed.,Periodic review of cybersecurity requirements for entity personnel,reviewed,Ensures that personnel cybersecurity requirements remain current and effective.,The organization must conduct periodic reviews of the cybersecurity requirements applicable to its personnel.,"Cybersecurity Governance, Cybersecurity in Human Resources, Cybersecurity requirements, personnel, entity, periodically reviewed",The control applies to the entity’s personnel and their cybersecurity requirements.,"governance, human resources security","Cybersecurity Governance : Cybersecurity in Human Resources : Cybersecurity requirements for personnel of the entity shall be periodically reviewed.

[TOPICS: Periodic review of cybersecurity requirements for entity personnel]
[ACTIONS: reviewed]
[DOMAINS: governance, human resources security]
[SUMMARY: The organization must conduct periodic reviews of the cybersecurity requirements applicable to its personnel.]
[PURPOSE: Ensures that personnel cybersecurity requirements remain current and effective.]
[CONCEPTS: Cybersecurity Governance, Cybersecurity in Human Resources, Cybersecurity requirements, personnel, entity, periodically reviewed]
[SCOPE: The control applies to the entity’s personnel and their cybersecurity requirements.]"
2.1,"Cybersecurity Defense : Asset Management :; Cybersecurity requirements for managing information and technology assets of the entity shall be identified, documented, and approved.; Cybersecurity requirements for managing information and technology assets of the entity shall be implemented.; The policy of acceptable use of information and technology assets of the entity shall be identified, documented, approved, and communicated.; The policy of acceptable use of information and technology assets of the entity shall be implemented.; Information and technology assets of the entity shall be classified, labeled, and handled as per the relevant legislative and regulatory requirements.; Cybersecurity requirements for managing information and technology assets of the entity shall be periodically reviewed.","Cybersecurity Defense : Asset Management :; Cybersecurity requirements for managing information and technology assets of the entity shall be identified, documented, and approved.; Cybersecurity requirements for managing information and technology assets of the entity shall be implemented.; The policy of acceptable use of information and technology assets of the entity shall be identified, documented, approved, and communicated.; The policy of acceptable use of information and technology assets of the entity shall be implemented.; Information and technology assets of the entity shall be classified, labeled, and handled as per the relevant legislative and regulatory requirements.; Cybersecurity requirements for managing information and technology assets of the entity shall be periodically reviewed.",Managing information and technology assets cybersecurity requirements,"identified, documented, approved, implemented, communicated, classified, labeled, handled, reviewed",It ensures compliance with legislative and regulatory requirements for information and technology assets.,"The entity must identify, document, approve, and implement cybersecurity requirements and an acceptable use policy for its information and technology assets, and classify, label, and handle those assets according to applicable laws and regulations. These requirements and policies must be communicated and periodically reviewed.","Cybersecurity requirements, information assets, technology assets, acceptable use policy, classification, labeling, handling, legislative requirements, regulatory requirements, periodic review","The control covers the entity’s information and technology assets, including related policies and requirements.","asset management, compliance","Cybersecurity Defense : Asset Management :; Cybersecurity requirements for managing information and technology assets of the entity shall be identified, documented, and approved.; Cybersecurity requirements for managing information and technology assets of the entity shall be implemented.; The policy of acceptable use of information and technology assets of the entity shall be identified, documented, approved, and communicated.; The policy of acceptable use of information and technology assets of the entity shall be implemented.; Information and technology assets of the entity shall be classified, labeled, and handled as per the relevant legislative and regulatory requirements.; Cybersecurity requirements for managing information and technology assets of the entity shall be periodically reviewed.

[TOPICS: Managing information and technology assets cybersecurity requirements]
[ACTIONS: identified, documented, approved, implemented, communicated, classified, labeled, handled, reviewed]
[DOMAINS: asset management, compliance]
[SUMMARY: The entity must identify, document, approve, and implement cybersecurity requirements and an acceptable use policy for its information and technology assets, and classify, label, and handle those assets according to applicable laws and regulations. These requirements and policies must be communicated and periodically reviewed.]
[PURPOSE: It ensures compliance with legislative and regulatory requirements for information and technology assets.]
[CONCEPTS: Cybersecurity requirements, information assets, technology assets, acceptable use policy, classification, labeling, handling, legislative requirements, regulatory requirements, periodic review]
[SCOPE: The control covers the entity’s information and technology assets, including related policies and requirements.]"
2.1.1,"Cybersecurity Defense : Asset Management : Cybersecurity requirements for managing information and technology assets of the entity shall be identified, documented, and approved.","Cybersecurity Defense : Asset Management : Cybersecurity requirements for managing information and technology assets of the entity shall be identified, documented, and approved.",Cybersecurity requirements for managing information and technology assets,"identified, documented, approved",Ensures that cybersecurity requirements for managing information and technology assets are formally recognized and authorized.,"The entity must identify, document, and obtain approval for all cybersecurity requirements related to the management of its information and technology assets.","Cybersecurity requirements, information assets, technology assets, identified, documented, approved",Management of the entity’s information and technology assets.,asset management,"Cybersecurity Defense : Asset Management : Cybersecurity requirements for managing information and technology assets of the entity shall be identified, documented, and approved.

[TOPICS: Cybersecurity requirements for managing information and technology assets]
[ACTIONS: identified, documented, approved]
[DOMAINS: asset management]
[SUMMARY: The entity must identify, document, and obtain approval for all cybersecurity requirements related to the management of its information and technology assets.]
[PURPOSE: Ensures that cybersecurity requirements for managing information and technology assets are formally recognized and authorized.]
[CONCEPTS: Cybersecurity requirements, information assets, technology assets, identified, documented, approved]
[SCOPE: Management of the entity’s information and technology assets.]"
2.1.2,Cybersecurity Defense : Asset Management : Cybersecurity requirements for managing information and technology assets of the entity shall be implemented.,Cybersecurity Defense : Asset Management : Cybersecurity requirements for managing information and technology assets of the entity shall be implemented.,Cybersecurity requirements for managing information and technology assets,"manage, implement",It ensures that the entity’s information and technology assets are managed according to cybersecurity requirements.,The organization must implement cybersecurity requirements that govern the management of its information and technology assets.,"Cybersecurity Defense, Asset Management, Cybersecurity requirements, information assets, technology assets, entity",Information and technology assets of the entity.,asset management,"Cybersecurity Defense : Asset Management : Cybersecurity requirements for managing information and technology assets of the entity shall be implemented.

[TOPICS: Cybersecurity requirements for managing information and technology assets]
[ACTIONS: manage, implement]
[DOMAINS: asset management]
[SUMMARY: The organization must implement cybersecurity requirements that govern the management of its information and technology assets.]
[PURPOSE: It ensures that the entity’s information and technology assets are managed according to cybersecurity requirements.]
[CONCEPTS: Cybersecurity Defense, Asset Management, Cybersecurity requirements, information assets, technology assets, entity]
[SCOPE: Information and technology assets of the entity.]"
2.1.3,"Cybersecurity Defense : Asset Management : The policy of acceptable use of information and technology assets of the entity shall be identified, documented, approved, and communicated.","Cybersecurity Defense : Asset Management : The policy of acceptable use of information and technology assets of the entity shall be identified, documented, approved, and communicated.",Acceptable use policy for information and technology assets,"identified, documented, approved, communicated","Provides a defined, authorized, and communicated policy for acceptable use of information and technology assets.","The organization must identify, document, obtain approval for, and communicate its acceptable use policy covering information and technology assets.","policy, acceptable use, information, technology assets, entity",The control applies to the information and technology assets of the entity.,asset management,"Cybersecurity Defense : Asset Management : The policy of acceptable use of information and technology assets of the entity shall be identified, documented, approved, and communicated.

[TOPICS: Acceptable use policy for information and technology assets]
[ACTIONS: identified, documented, approved, communicated]
[DOMAINS: asset management]
[SUMMARY: The organization must identify, document, obtain approval for, and communicate its acceptable use policy covering information and technology assets.]
[PURPOSE: Provides a defined, authorized, and communicated policy for acceptable use of information and technology assets.]
[CONCEPTS: policy, acceptable use, information, technology assets, entity]
[SCOPE: The control applies to the information and technology assets of the entity.]"
2.1.4,Cybersecurity Defense : Asset Management : The policy of acceptable use of information and technology assets of the entity shall be implemented.,Cybersecurity Defense : Asset Management : The policy of acceptable use of information and technology assets of the entity shall be implemented.,Acceptable use policy for information and technology assets,implemented,Implements a policy governing acceptable use of the entity’s information and technology assets.,The organization must implement a policy that defines acceptable use of its information and technology assets.,"policy, acceptable use, information, technology assets, entity, Cybersecurity Defense, Asset Management",The control applies to the entity’s information and technology assets.,asset management,"Cybersecurity Defense : Asset Management : The policy of acceptable use of information and technology assets of the entity shall be implemented.

[TOPICS: Acceptable use policy for information and technology assets]
[ACTIONS: implemented]
[DOMAINS: asset management]
[SUMMARY: The organization must implement a policy that defines acceptable use of its information and technology assets.]
[PURPOSE: Implements a policy governing acceptable use of the entity’s information and technology assets.]
[CONCEPTS: policy, acceptable use, information, technology assets, entity, Cybersecurity Defense, Asset Management]
[SCOPE: The control applies to the entity’s information and technology assets.]"
2.1.5,"Cybersecurity Defense : Asset Management : Information and technology assets of the entity shall be classified, labeled, and handled as per the relevant legislative and regulatory requirements.","Cybersecurity Defense : Asset Management : Information and technology assets of the entity shall be classified, labeled, and handled as per the relevant legislative and regulatory requirements.","Classification, labeling, and handling of information and technology assets","classified,labeled,handled",Ensures compliance with applicable legislative and regulatory requirements for asset management.,"The entity must classify, label, and handle its information and technology assets in accordance with relevant laws and regulations.","Cybersecurity Defense,Asset Management,Information and technology assets,classified,labeled,handled,legislative,regulatory requirements",Information and technology assets of the entity are covered.,"asset management,compliance","Cybersecurity Defense : Asset Management : Information and technology assets of the entity shall be classified, labeled, and handled as per the relevant legislative and regulatory requirements.

[TOPICS: Classification, labeling, and handling of information and technology assets]
[ACTIONS: classified,labeled,handled]
[DOMAINS: asset management,compliance]
[SUMMARY: The entity must classify, label, and handle its information and technology assets in accordance with relevant laws and regulations.]
[PURPOSE: Ensures compliance with applicable legislative and regulatory requirements for asset management.]
[CONCEPTS: Cybersecurity Defense,Asset Management,Information and technology assets,classified,labeled,handled,legislative,regulatory requirements]
[SCOPE: Information and technology assets of the entity are covered.]"
2.1.6,Cybersecurity Defense : Asset Management : Cybersecurity requirements for managing information and technology assets of the entity shall be periodically reviewed.,Cybersecurity Defense : Asset Management : Cybersecurity requirements for managing information and technology assets of the entity shall be periodically reviewed.,Cybersecurity requirements for managing information and technology assets,"manage,review",Regular reviews help maintain appropriate cybersecurity controls over the entity’s information and technology assets.,The entity must periodically review its cybersecurity requirements that govern the management of its information and technology assets.,"Cybersecurity Defense, Asset Management, Cybersecurity requirements, information assets, technology assets, periodically reviewed",The control covers the management of the entity’s information and technology assets.,asset management,"Cybersecurity Defense : Asset Management : Cybersecurity requirements for managing information and technology assets of the entity shall be periodically reviewed.

[TOPICS: Cybersecurity requirements for managing information and technology assets]
[ACTIONS: manage,review]
[DOMAINS: asset management]
[SUMMARY: The entity must periodically review its cybersecurity requirements that govern the management of its information and technology assets.]
[PURPOSE: Regular reviews help maintain appropriate cybersecurity controls over the entity’s information and technology assets.]
[CONCEPTS: Cybersecurity Defense, Asset Management, Cybersecurity requirements, information assets, technology assets, periodically reviewed]
[SCOPE: The control covers the management of the entity’s information and technology assets.]"
2.10,"Cybersecurity Defense : Vulnerabilities Management :; Cybersecurity requirements for technical vulnerabilities management within the entity shall be identified, documented, and approved.; Cybersecurity requirements for technical vulnerabilities management within the entity shall be implemented.; Cybersecurity requirements for technical vulnerabilities management shall include the following as a minimum:; The implementation of cybersecurity requirements for technical vulnerabilities management within the entity shall be periodically reviewed.","Cybersecurity Defense : Vulnerabilities Management :; Cybersecurity requirements for technical vulnerabilities management within the entity shall be identified, documented, and approved.; Cybersecurity requirements for technical vulnerabilities management within the entity shall be implemented.; Cybersecurity requirements for technical vulnerabilities management shall include the following as a minimum:; The implementation of cybersecurity requirements for technical vulnerabilities management within the entity shall be periodically reviewed.",Cybersecurity requirements for technical vulnerabilities management,"identified, documented, approved, implemented, include, reviewed","The control ensures that technical vulnerability management requirements are defined, approved, implemented, and periodically reviewed.","The entity must identify, document, and approve cybersecurity requirements for technical vulnerabilities management, implement those requirements, include at least the minimum specified elements, and periodically review the implementation.","Cybersecurity Defense, Vulnerabilities Management, cybersecurity requirements, technical vulnerabilities management, identified, documented, approved, implemented, include, minimum, periodically reviewed",All technical vulnerability management activities within the entity are covered.,"governance, risk management, operations security","Cybersecurity Defense : Vulnerabilities Management :; Cybersecurity requirements for technical vulnerabilities management within the entity shall be identified, documented, and approved.; Cybersecurity requirements for technical vulnerabilities management within the entity shall be implemented.; Cybersecurity requirements for technical vulnerabilities management shall include the following as a minimum:; The implementation of cybersecurity requirements for technical vulnerabilities management within the entity shall be periodically reviewed.

[TOPICS: Cybersecurity requirements for technical vulnerabilities management]
[ACTIONS: identified, documented, approved, implemented, include, reviewed]
[DOMAINS: governance, risk management, operations security]
[SUMMARY: The entity must identify, document, and approve cybersecurity requirements for technical vulnerabilities management, implement those requirements, include at least the minimum specified elements, and periodically review the implementation.]
[PURPOSE: The control ensures that technical vulnerability management requirements are defined, approved, implemented, and periodically reviewed.]
[CONCEPTS: Cybersecurity Defense, Vulnerabilities Management, cybersecurity requirements, technical vulnerabilities management, identified, documented, approved, implemented, include, minimum, periodically reviewed]
[SCOPE: All technical vulnerability management activities within the entity are covered.]"
2.10.1,"Cybersecurity Defense : Vulnerabilities Management : Cybersecurity requirements for technical vulnerabilities management within the entity shall be identified, documented, and approved.","Cybersecurity Defense : Vulnerabilities Management : Cybersecurity requirements for technical vulnerabilities management within the entity shall be identified, documented, and approved.",Cybersecurity requirements for technical vulnerabilities management,"identified, documented, approved",Ensures that technical vulnerability management requirements are formally recognized and controlled within the entity.,"The entity must identify, document, and obtain approval for all cybersecurity requirements related to technical vulnerability management.","Cybersecurity Defense, Vulnerabilities Management, technical vulnerabilities management, requirements, entity",Technical vulnerability management requirements within the entity.,operations security,"Cybersecurity Defense : Vulnerabilities Management : Cybersecurity requirements for technical vulnerabilities management within the entity shall be identified, documented, and approved.

[TOPICS: Cybersecurity requirements for technical vulnerabilities management]
[ACTIONS: identified, documented, approved]
[DOMAINS: operations security]
[SUMMARY: The entity must identify, document, and obtain approval for all cybersecurity requirements related to technical vulnerability management.]
[PURPOSE: Ensures that technical vulnerability management requirements are formally recognized and controlled within the entity.]
[CONCEPTS: Cybersecurity Defense, Vulnerabilities Management, technical vulnerabilities management, requirements, entity]
[SCOPE: Technical vulnerability management requirements within the entity.]"
2.10.2,Cybersecurity Defense : Vulnerabilities Management : Cybersecurity requirements for technical vulnerabilities management within the entity shall be implemented.,Cybersecurity Defense : Vulnerabilities Management : Cybersecurity requirements for technical vulnerabilities management within the entity shall be implemented.,Cybersecurity requirements for technical vulnerabilities management,implemented,This control matters because it requires the entity to implement cybersecurity requirements for managing technical vulnerabilities.,The entity must implement cybersecurity requirements that address the management of technical vulnerabilities.,"Cybersecurity Defense,Vulnerabilities Management,Cybersecurity requirements,technical vulnerabilities management,entity",The control applies to technical vulnerabilities management within the entity.,operations security,"Cybersecurity Defense : Vulnerabilities Management : Cybersecurity requirements for technical vulnerabilities management within the entity shall be implemented.

[TOPICS: Cybersecurity requirements for technical vulnerabilities management]
[ACTIONS: implemented]
[DOMAINS: operations security]
[SUMMARY: The entity must implement cybersecurity requirements that address the management of technical vulnerabilities.]
[PURPOSE: This control matters because it requires the entity to implement cybersecurity requirements for managing technical vulnerabilities.]
[CONCEPTS: Cybersecurity Defense,Vulnerabilities Management,Cybersecurity requirements,technical vulnerabilities management,entity]
[SCOPE: The control applies to technical vulnerabilities management within the entity.]"
